Order ID,Order Date,Customer ID,Customer Name,City,State,Country,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Order Priority
IN-2014-14780,10/17/2014,CR-12820,Cyra Reiten,Patna,Bihar,India,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID","? 3,194.55",5,? 830.55,High
IN-2011-51964,12/28/2011,AB-10105,Adrian Barton,Kochi,Kerala,India,TEC-CO-10002526,Technology,Copiers,"Sharp Wireless Fax, Digital","? 1,066.68",3,? 394.65,Critical
IN-2012-18518,10/4/2012,TT-21070,Ted Trevino,Agra,Uttar Pradesh,India,FUR-CH-10001207,Furniture,Chairs,"Hon Executive Leather Armchair, Red","? 2,756.34",6,? 413.28,High
IN-2012-79439,2/4/2012,EM-13810,Eleni McCrary,Dehra Dun,Uttarakhand,India,FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine","? 3,076.50",7,? 215.25,Medium
IN-2013-50809,6/12/2013,CA-12775,Cynthia Arntzen,Kota,Chhattisgarh,India,TEC-PH-10000169,Technology,Phones,"Apple Smart Phone, with Caller ID","? 5,751.54",9,"? 2,817.99",Medium
IN-2011-26176,8/16/2011,KB-16600,Ken Brennan,Lucknow,Uttar Pradesh,India,FUR-BO-10001934,Furniture,Bookcases,"Bush Library with Doors, Metal","? 3,274.02",9,? 261.90,Medium
IN-2011-23530,11/9/2011,AS-10285,Alejandro Savely,Kanpur,Uttar Pradesh,India,FUR-CH-10004694,Furniture,Chairs,"Office Star Rocking Chair, Black",? 969.36,7,? 348.81,Critical
IN-2014-47449,7/12/2014,CD-12280,Christina DeMoss,Delhi,Delhi,India,FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional","? 2,190.75",5,? 65.70,Medium
IN-2014-32084,8/6/2014,AF-10885,Art Foster,Salem,Tamil Nadu,India,TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size","? 2,550.00",4,? 280.44,High
IN-2014-13597,11/3/2014,AC-10450,Amy Cox,Chennai,Tamil Nadu,India,FUR-TA-10002256,Furniture,Tables,"Hon Wood Table, Fully Assembled","? 2,664.00",5,? 905.70,Medium
IN-2011-40155,11/14/2011,CL-12700,Craig Leslie,Kulti,West Bengal,India,TEC-PH-10000499,Technology,Phones,"Motorola Smart Phone, Full Size","? 4,498.83",7,? 674.73,Medium
IN-2012-26274,2/27/2012,BT-11530,Bradley Talbott,Muzaffarpur,Bihar,India,FUR-TA-10001116,Furniture,Tables,"Barricks Conference Table, Fully Assembled","? 5,451.30",6,? 327.06,Medium
IN-2011-44901,2/23/2011,MG-18205,Mitch Gastineau,Thane,Maharashtra,India,TEC-CO-10004997,Technology,Copiers,"Hewlett Wireless Fax, Color","? 1,526.52",4,? 732.72,High
IN-2014-48261,10/23/2014,CY-12745,Craig Yedwab,Bangalore,Karnataka,India,TEC-CO-10002376,Technology,Copiers,"Hewlett Fax Machine, Laser",? 959.76,3,? 460.62,Critical
IN-2013-15277,11/11/2013,MR-17545,Mathew Reese,Jodhpur,Rajasthan,India,TEC-CO-10002150,Technology,Copiers,"Canon Fax and Copier, Digital",? 763.92,4,? 381.96,Critical
ID-2013-69345,9/19/2013,EM-13960,Eric Murdock,Nagpur,Maharashtra,India,OFF-AP-10001824,Office Supplies,Appliances,"Breville Stove, Silver","? 2,249.16",4,? 224.88,High
IN-2014-16887,5/5/2014,CC-12475,Cindy Chapman,Bhavnagar,Gujarat,India,TEC-CO-10002040,Technology,Copiers,"Brother Fax Machine, Digital","? 1,272.72",4,? 534.48,High
IN-2012-44278,5/4/2012,NZ-18565,Nick Zandusky,Jaipur,Rajasthan,India,TEC-CO-10003102,Technology,Copiers,"Canon Copy Machine, Color","? 2,372.22",9,? 0.00,High
IN-2014-53427,5/9/2014,LT-16765,Larry Tron,Imphal,Manipur,India,FUR-TA-10004711,Furniture,Tables,"Lesro Conference Table, Adjustable Height","? 4,298.85",5,? 300.90,Low
IN-2011-51740,8/3/2011,DM-13525,Don Miller,Muzaffarpur,Bihar,India,TEC-PH-10000720,Technology,Phones,"Samsung Audio Dock, Full Size",? 840.60,5,? 319.35,Critical
IN-2012-27583,2/24/2012,DL-13330,Denise Leinenbach,Nagpur,Maharashtra,India,TEC-PH-10001699,Technology,Phones,"Samsung Smart Phone, Full Size","? 3,187.20",5,? 541.80,Medium
IN-2012-75904,5/10/2012,BW-11110,Bart Watters,Jhansi,Uttar Pradesh,India,TEC-MA-10001752,Technology,Machines,"Konica Printer, Durable","? 1,607.76",6,? 482.22,High
IN-2013-71333,9/13/2013,JE-15610,Jim Epp,Amravati,Maharashtra,India,TEC-PH-10004006,Technology,Phones,"Nokia Audio Dock, Full Size",? 840.15,5,? 260.40,Critical
IN-2014-25847,10/11/2014,JK-16090,Juliana Krohn,Delhi,Delhi,India,OFF-AP-10003275,Office Supplies,Appliances,"KitchenAid Microwave, Silver","? 2,488.56",8,? 348.24,High
IN-2014-35983,5/1/2014,SW-20275,Scott Williamson,Jamshedpur,Jharkhand,India,FUR-CH-10000994,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",? 723.30,5,? 122.85,Critical
IN-2012-53420,4/12/2012,LW-16825,Laurel Workman,Nasik,Maharashtra,India,TEC-CO-10004961,Technology,Copiers,"HP Wireless Fax, Color",? 723.30,2,? 332.70,Critical
IN-2011-10055,10/6/2011,TS-21370,Todd Sumrall,Visakhapatnam,Andhra Pradesh,India,OFF-AP-10003598,Office Supplies,Appliances,"Breville Refrigerator, Red","? 2,077.32",4,? 581.64,Medium
IN-2012-29130,6/16/2012,JR-15700,Jocasta Rupert,Kollam,Kerala,India,OFF-AP-10003275,Office Supplies,Appliances,"KitchenAid Microwave, Silver","? 2,799.63",9,? 391.77,Medium
IN-2011-17594,9/22/2011,DP-13165,David Philippe,Thane,Maharashtra,India,TEC-PH-10001751,Technology,Phones,"Samsung Smart Phone, Cordless","? 1,917.00",3,? 690.12,High
IN-2011-44901,2/23/2011,MG-18205,Mitch Gastineau,Thane,Maharashtra,India,FUR-BO-10002462,Furniture,Bookcases,"Ikea Classic Bookcase, Pine","? 2,065.50",5,? 41.25,High
IN-2014-46777,1/25/2014,KD-16345,Katherine Ducich,Surat,Gujarat,India,FUR-BO-10003282,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile","? 2,485.62",6,? 795.24,Medium
IN-2014-17230,5/28/2014,DR-12940,Daniel Raglin,Madurai,Tamil Nadu,India,FUR-CH-10002573,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable","? 1,395.00",3,? 237.15,High
IN-2012-63759,12/1/2012,CS-12460,Chuck Sachs,Aligarh,Uttar Pradesh,India,TEC-CO-10004027,Technology,Copiers,"Sharp Fax Machine, Color","? 2,673.81",9,? 26.73,Medium
IN-2012-33820,12/11/2012,CC-12685,Craig Carroll,Vijayawada,Andhra Pradesh,India,TEC-PH-10002652,Technology,Phones,"Cisco Smart Phone, Cordless","? 1,302.96",2,? 182.40,High
IN-2014-72054,4/7/2014,JW-15220,Jane Waco,Mangalore,Karnataka,India,TEC-PH-10000780,Technology,Phones,"Cisco Smart Phone, with Caller ID","? 3,271.20",5,"? 1,341.15",High
IN-2013-60700,11/28/2013,MC-17845,Michael Chen,Gwalior,Madhya Pradesh,India,FUR-TA-10001889,Furniture,Tables,"Bevis Conference Table, Fully Assembled","? 1,850.46",2,? 259.02,High
IN-2014-47806,5/17/2014,DO-13435,Denny Ordway,Srinagar,Jammu and Kashmir,India,FUR-TA-10001360,Furniture,Tables,"Bevis Round Table, Rectangular","? 3,094.56",6,"? 1,423.44",Medium
IN-2014-76016,9/26/2014,VG-21805,Vivek Grady,Thiruvananthapuram,Kerala,India,FUR-BO-10004043,Furniture,Bookcases,"Dania Classic Bookcase, Metal","? 2,871.54",7,? 57.33,Medium
IN-2012-45909,10/5/2012,TB-21190,Thomas Brumley,Allahabad,Uttar Pradesh,India,TEC-PH-10000030,Technology,Phones,"Samsung Smart Phone, with Caller ID","? 2,544.60",4,? 865.08,Medium
IN-2013-10811,9/17/2013,LR-16915,Lena Radford,Gorakhpur,Haryana,India,TEC-PH-10003713,Technology,Phones,"Nokia Smart Phone, Cordless","? 1,908.45",3,? 534.33,High
IN-2014-52636,6/27/2014,DM-13345,Denise Monton,Varanasi,Uttar Pradesh,India,TEC-CO-10004404,Technology,Copiers,"Brother Copy Machine, High-Speed","? 2,098.32",8,? 860.16,Medium
IN-2013-55170,11/28/2013,TC-20980,Tamara Chand,Chennai,Tamil Nadu,India,FUR-CH-10002872,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable","? 1,391.76",3,? 97.38,High
IN-2013-46252,5/1/2013,ZC-21910,Zuschuss Carroll,Tiruppur,Tamil Nadu,India,TEC-CO-10000447,Technology,Copiers,"Canon Wireless Fax, Color","? 3,040.80",8,"? 1,155.36",Medium
IN-2014-78396,3/24/2014,MG-18145,Mike Gockenbach,Bhilwara,Rajasthan,India,FUR-TA-10004744,Furniture,Tables,"Lesro Conference Table, with Bottom Storage","? 2,572.74",3,"? 1,080.54",Medium
IN-2014-20870,7/9/2014,EM-14140,Eugene Moren,Malegaon,Maharashtra,India,FUR-BO-10003301,Furniture,Bookcases,"Dania Floating Shelf Set, Metal","? 2,194.53",13,? 438.75,High
IN-2013-46798,8/12/2013,DK-12985,Darren Koutras,Delhi,Delhi,India,TEC-PH-10002936,Technology,Phones,"Nokia Smart Phone, Full Size","? 3,180.30",5,? 381.60,Medium
IN-2013-19176,6/11/2013,MS-17980,Michael Stewart,Hyderabad,Telangana,India,TEC-PH-10003856,Technology,Phones,"Motorola Smart Phone, with Caller ID","? 2,582.16",4,? 361.44,Medium
IN-2012-21206,2/6/2012,SC-20800,Stuart Calhoun,Bhilai,Chhattisgarh,India,FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine","? 1,236.33",3,? 519.21,High
IN-2012-28528,10/1/2012,CA-12775,Cynthia Arntzen,Delhi,Delhi,India,FUR-TA-10001786,Furniture,Tables,"Chromcraft Computer Table, with Bottom Storage","? 3,547.44",8,? 780.24,Medium
IN-2013-78809,1/22/2013,AG-10900,Arthur Gainer,Pune,Maharashtra,India,FUR-CH-10002247,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable","? 1,838.52",4,? 349.20,High
IN-2013-37761,5/1/2013,KB-16240,Karen Bern,Kalyan,Maharashtra,India,FUR-CH-10002944,Furniture,Chairs,"Office Star Steel Folding Chair, Black",? 803.52,9,? 48.06,Medium
IN-2011-41254,6/22/2011,SC-20230,Scot Coram,Avadi,Tamil Nadu,India,FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine","? 2,637.00",6,? 184.50,Medium
IN-2013-27247,9/11/2013,LB-16795,Laurel Beltran,Thanjavur,Tamil Nadu,India,TEC-CO-10003087,Technology,Copiers,"Canon Wireless Fax, Laser","? 3,407.94",9,? 613.17,Medium
IN-2012-57424,12/15/2012,RW-19690,Robert Waldorf,Bhatinda,Punjab,India,OFF-AP-10004295,Office Supplies,Appliances,"Cuisinart Refrigerator, Silver","? 1,987.32",4,? 298.08,Medium
ID-2013-13422,12/20/2013,AG-10765,Anthony Garverick,Mumbai,Maharashtra,India,FUR-TA-10004416,Furniture,Tables,"Bevis Wood Table, Adjustable Height",? 535.80,2,-? 96.48,Critical
IN-2013-29578,8/24/2013,JO-15280,Jas O'Carroll,Hyderabad,Telangana,India,FUR-BO-10002277,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile",? 868.95,5,? 43.35,High
IN-2014-65194,3/27/2014,AF-10870,Art Ferguson,Aurangabad,Bihar,India,FUR-CH-10003950,Furniture,Chairs,"Novimex Executive Leather Armchair, Black","? 2,289.75",5,? 68.55,Medium
IN-2012-32805,12/19/2012,AF-10885,Art Foster,Solapur,Maharashtra,India,OFF-AP-10002675,Office Supplies,Appliances,"Cuisinart Refrigerator, Black","? 2,973.06",6,? 445.86,High
IN-2014-11231,12/16/2014,CS-11845,Cari Sayre,Raipur,Uttarakhand,India,FUR-BO-10000676,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",? 630.15,5,? 31.50,Critical
IN-2011-59685,8/4/2011,BM-11785,Bryan Mills,Tiruchchirappalli,Tamil Nadu,India,FUR-BO-10001934,Furniture,Bookcases,"Bush Library with Doors, Metal","? 1,455.12",4,? 116.40,Medium
IN-2012-29459,10/25/2012,DW-13195,David Wiener,Bhiwandi,Maharashtra,India,FUR-BO-10002031,Furniture,Bookcases,"Sauder Classic Bookcase, Pine","? 2,186.70",5,? 481.05,Medium
IN-2013-26659,8/7/2013,AB-10600,Ann Blume,Lucknow,Uttar Pradesh,India,FUR-BO-10004529,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Pine",? 840.15,5,? 100.80,Low
IN-2012-57823,12/5/2012,CR-12625,Corey Roper,Pune,Maharashtra,India,FUR-CH-10002250,Furniture,Chairs,"Office Star Executive Leather Armchair, Black","? 1,869.72",4,? 878.76,High
IN-2013-25532,3/12/2013,CC-12370,Christopher Conant,Cuttack,Odisha,India,TEC-MA-10002148,Technology,Machines,"Epson Printer, Durable",? 788.22,3,? 102.42,High
IN-2013-65075,3/23/2013,GZ-14470,Gary Zandusky,Ludhiana,Punjab,India,TEC-AC-10004108,Technology,Accessories,"Memorex Router, USB","? 2,217.78",9,? 775.98,Medium
IN-2013-12183,5/14/2013,HH-15010,Hilary Holden,Nagpur,Maharashtra,India,FUR-CH-10002573,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable","? 1,395.00",3,? 237.15,Medium
IN-2013-78935,8/26/2013,AS-10285,Alejandro Savely,Avadi,Tamil Nadu,India,TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size","? 1,912.50",3,? 210.33,High
IN-2013-34968,10/27/2013,CR-12625,Corey Roper,Surat,Gujarat,India,FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine","? 1,564.56",4,? 172.08,High
IN-2012-15137,4/10/2012,CS-12175,Charles Sheldon,Allahabad,Uttar Pradesh,India,FUR-CH-10000351,Furniture,Chairs,"Novimex Chairmat, Set of Two",? 527.31,9,? 194.94,High
IN-2011-45993,10/14/2011,LR-17035,Lisa Ryan,Agra,Uttar Pradesh,India,TEC-MA-10002468,Technology,Machines,"Panasonic Inkjet, White","? 2,173.50",7,? 260.82,High
IN-2012-46448,5/31/2012,SW-20245,Scot Wooten,Fatehpur,Rajasthan,India,TEC-PH-10000358,Technology,Phones,"Samsung Headset, with Caller ID",? 951.60,13,? 66.30,High
IN-2014-51719,11/21/2014,DV-13045,Darrin Van Huff,Madurai,Tamil Nadu,India,OFF-ST-10003837,Office Supplies,Storage,"Tenex Lockers, Single Width","? 1,429.26",7,? 199.92,Medium
IN-2014-72838,9/26/2014,RF-19840,Roy Franz?sisch,Cuttack,Odisha,India,FUR-CH-10004196,Furniture,Chairs,"Novimex Swivel Stool, Red","? 1,315.68",8,? 328.80,High
IN-2012-47008,8/23/2012,FG-14260,Frank Gastineau,Jabalpur,Madhya Pradesh,India,TEC-CO-10002911,Technology,Copiers,"Hewlett Wireless Fax, Laser",? 760.38,2,? 144.42,Low
IN-2014-58957,11/17/2014,MM-17920,Michael Moore,Dewas,Madhya Pradesh,India,OFF-AR-10001266,Office Supplies,Art,"Boston Canvas, Blue",? 482.76,9,? 183.33,Critical
IN-2014-10657,11/25/2014,DB-13615,Doug Bickford,Hyderabad,Telangana,India,FUR-CH-10001415,Furniture,Chairs,"Office Star Executive Leather Armchair, Red","? 1,409.04",3,? 436.77,Medium
IN-2014-47806,5/17/2014,DO-13435,Denny Ordway,Srinagar,Jammu and Kashmir,India,OFF-AP-10001931,Office Supplies,Appliances,"Cuisinart Stove, Red","? 2,153.16",4,? 861.24,Medium
ID-2011-52937,11/7/2011,MG-17680,Maureen Gastineau,Mumbai,Maharashtra,India,TEC-PH-10001614,Technology,Phones,"Motorola Audio Dock, VoIP",? 346.92,4,-? 152.76,Critical
IN-2011-70850,11/21/2011,DH-13675,Duane Huffman,Gorakhpur,Uttar Pradesh,India,TEC-PH-10003002,Technology,Phones,"Cisco Smart Phone, Full Size","? 1,954.17",3,? 312.66,Medium
IN-2011-55268,9/7/2011,GT-14710,Greg Tran,Vadodara,Gujarat,India,TEC-PH-10001354,Technology,Phones,"Motorola Speaker Phone, Full Size",? 524.28,4,? 146.76,High
IN-2012-66727,11/27/2012,EC-14050,Erin Creighton,Pune,Maharashtra,India,TEC-AC-10002244,Technology,Accessories,"Enermax Router, Erganomic","? 1,792.98",7,? 394.38,Low
ID-2013-48485,5/9/2013,CM-12115,Chad McGuire,Mumbai,Maharashtra,India,FUR-CH-10000025,Furniture,Chairs,"Office Star Rocking Chair, Set of Two",? 429.48,6,-? 257.76,Critical
IN-2014-46616,3/22/2014,VP-21730,Victor Preis,Faridabad,Haryana,India,FUR-TA-10001386,Furniture,Tables,"Lesro Conference Table, Fully Assembled","? 1,718.10",2,? 618.48,High
IN-2014-40764,3/27/2014,RB-19435,Richard Bierner,Korba,Chhattisgarh,India,FUR-BO-10004648,Furniture,Bookcases,"Sauder Library with Doors, Pine","? 2,722.86",7,? 408.24,Medium
IN-2012-21206,2/6/2012,SC-20800,Stuart Calhoun,Bhilai,Chhattisgarh,India,FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine","? 2,737.98",7,? 301.14,High
IN-2013-76835,8/12/2013,RA-19285,Ralph Arnett,Mangalore,Karnataka,India,TEC-CO-10004170,Technology,Copiers,"HP Wireless Fax, High-Speed","? 1,075.23",3,? 344.07,High
IN-2014-75267,11/18/2014,RB-19465,Rick Bensley,Agra,Uttar Pradesh,India,TEC-AC-10002172,Technology,Accessories,"Memorex Keyboard, Programmable",? 655.56,9,? 91.53,High
IN-2014-44012,9/25/2014,PS-19045,Penelope Sewall,Anantapur,Andhra Pradesh,India,OFF-ST-10000103,Office Supplies,Storage,"Smead Lockers, Industrial",? 596.70,3,? 83.52,Critical
IN-2013-26743,8/2/2013,MG-18205,Mitch Gastineau,Pune,Maharashtra,India,TEC-AC-10000866,Technology,Accessories,"Belkin Router, Erganomic","? 1,282.80",5,? 217.95,High
IN-2013-30775,5/29/2013,AR-10405,Allen Rosenblatt,Mathura,Uttar Pradesh,India,OFF-ST-10004837,Office Supplies,Storage,"Eldon File Cart, Single Width",? 767.52,6,? 45.90,High
IN-2013-73412,1/25/2013,AM-10360,Alice McCarthy,Gaya,Bihar,India,TEC-CO-10001419,Technology,Copiers,"Hewlett Copy Machine, Color","? 1,590.66",6,? 47.70,Medium
IN-2014-61414,1/16/2014,JJ-15445,Jennifer Jackson,Kolhapur,Maharashtra,India,FUR-CH-10000027,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black","? 1,377.00",3,? 179.01,Medium
IN-2011-75526,8/22/2011,DM-12955,Dario Medina,Bhavnagar,Gujarat,India,TEC-PH-10002601,Technology,Phones,"Motorola Smart Phone, Cordless","? 1,928.34",3,? 77.13,Medium
IN-2014-17349,7/21/2014,RB-19570,Rob Beeghly,Rajkot,Gujarat,India,OFF-ST-10001357,Office Supplies,Storage,"Eldon Lockers, Single Width","? 1,187.64",6,? 213.66,High
IN-2012-40211,12/15/2012,DP-13165,David Philippe,Satna,Madhya Pradesh,India,TEC-CO-10004897,Technology,Copiers,"Sharp Fax Machine, High-Speed","? 1,469.25",5,? 616.95,High
IN-2012-35143,1/23/2012,RO-19780,Rose O'Brian,Kollam,Kerala,India,OFF-AP-10002312,Office Supplies,Appliances,"KitchenAid Refrigerator, Black","? 2,636.85",5,? 580.05,Medium
IN-2013-72901,11/11/2013,LT-16765,Larry Tron,Bikaner,Rajasthan,India,FUR-CH-10002060,Furniture,Chairs,"SAFCO Rocking Chair, Adjustable",? 961.80,7,? 163.38,Medium
IN-2012-11476,10/29/2012,HH-15010,Hilary Holden,Indore,Madhya Pradesh,India,TEC-AC-10002533,Technology,Accessories,"Enermax Memory Card, USB",? 802.20,7,? 128.31,High
IN-2014-23124,8/29/2014,AJ-10780,Anthony Jacobs,Tirupati,Andhra Pradesh,India,FUR-BO-10004852,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",? 871.98,2,? 322.62,Low
IN-2014-15662,1/29/2014,LB-16795,Laurel Beltran,Pune,Maharashtra,India,TEC-MA-10003492,Technology,Machines,"Okidata Printer, Wireless","? 1,611.00",6,? 64.44,Medium
IN-2012-47008,8/23/2012,FG-14260,Frank Gastineau,Jabalpur,Madhya Pradesh,India,TEC-CO-10002350,Technology,Copiers,"Canon Wireless Fax, Digital","? 1,134.90",3,? 45.36,Low
IN-2013-26659,8/7/2013,AB-10600,Ann Blume,Lucknow,Uttar Pradesh,India,TEC-MA-10003773,Technology,Machines,"Panasonic Card Printer, Wireless",? 869.10,5,? 252.00,Low
IN-2014-75785,3/20/2014,KW-16570,Kelly Williams,Meerut,Uttar Pradesh,India,TEC-CO-10004535,Technology,Copiers,"Hewlett Fax Machine, High-Speed","? 1,272.48",4,? 458.04,Medium
IN-2013-46252,5/1/2013,ZC-21910,Zuschuss Carroll,Tiruppur,Tamil Nadu,India,TEC-MA-10004666,Technology,Machines,"Panasonic Inkjet, Red","? 1,236.96",4,? 24.72,Medium
IN-2013-28297,5/24/2013,BO-11350,Bill Overfelt,Bangalore,Karnataka,India,TEC-CO-10000208,Technology,Copiers,"Brother Wireless Fax, Color","? 1,140.75",3,? 0.00,Medium
IN-2011-62016,7/12/2011,NM-18520,Neoma Murray,Parbhani,Maharashtra,India,FUR-TA-10000558,Furniture,Tables,"Hon Wood Table, Rectangular","? 1,057.80",2,? 338.46,Low
IN-2014-16852,6/18/2014,GW-14605,Giulietta Weimer,Chennai,Tamil Nadu,India,TEC-CO-10001407,Technology,Copiers,"Canon Ink, Digital",? 587.16,4,? 146.76,High
IN-2013-41569,12/20/2013,RP-19390,Resi P?lking,Kollam,Kerala,India,OFF-ST-10003953,Office Supplies,Storage,"Smead File Cart, Industrial","? 1,027.20",8,? 287.52,Medium
IN-2012-47750,2/15/2012,NG-18430,Nathan Gelder,Chennai,Tamil Nadu,India,TEC-PH-10001921,Technology,Phones,"Nokia Signal Booster, with Caller ID",? 546.00,4,? 60.00,Critical
IN-2014-62156,9/26/2014,GM-14455,Gary Mitchum,Ranchi,Jharkhand,India,FUR-BO-10001598,Furniture,Bookcases,"Bush Corner Shelving, Pine",? 877.38,7,? 394.80,Medium
IN-2013-64865,6/27/2013,AS-10135,Adrian Shami,Nagercoil,Tamil Nadu,India,TEC-MA-10002680,Technology,Machines,"Konica Inkjet, White",? 931.77,3,? 214.29,Medium
IN-2014-41485,9/30/2014,JH-16180,Justin Hirsh,Nizamabad,Telangana,India,TEC-CO-10000953,Technology,Copiers,"HP Wireless Fax, Laser",? 720.42,2,? 201.66,Critical
IN-2014-34128,4/15/2014,KN-16450,Kean Nguyen,Gorakhpur,Uttar Pradesh,India,FUR-TA-10001531,Furniture,Tables,"Lesro Training Table, Adjustable Height","? 1,354.95",5,? 108.30,Medium
IN-2012-29571,9/27/2012,MD-17860,Michael Dominguez,Bareilly,Uttar Pradesh,India,TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size","? 3,187.50",5,? 350.55,Medium
IN-2014-42808,11/6/2014,PB-18805,Patrick Bzostek,Jhansi,Uttar Pradesh,India,OFF-AP-10004711,Office Supplies,Appliances,"Breville Refrigerator, Silver","? 2,080.32",4,? 603.24,Medium
IN-2011-78263,2/16/2011,BF-11215,Benjamin Farhat,Kanpur,Uttar Pradesh,India,TEC-MA-10002941,Technology,Machines,"Okidata Card Printer, Red","? 1,210.86",7,? 423.78,Medium
IN-2014-46875,9/11/2014,AP-10915,Arthur Prichep,Thane,Maharashtra,India,FUR-CH-10002573,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",? 930.00,2,? 158.10,Medium
IN-2013-79530,5/20/2013,AA-10645,Anna Andreadi,Chennai,Tamil Nadu,India,TEC-CO-10001382,Technology,Copiers,"HP Personal Copier, Laser",? 621.45,5,? 192.60,High
IN-2013-61127,12/21/2013,KB-16585,Ken Black,Puducherry,Puducherry,India,FUR-BO-10002462,Furniture,Bookcases,"Ikea Classic Bookcase, Pine","? 1,239.30",3,? 24.75,Medium
ID-2013-38748,6/24/2013,MJ-17740,Max Jones,Mumbai,Maharashtra,India,TEC-MA-10001127,Technology,Machines,"Epson Inkjet, Wireless",? 770.85,5,-? 447.15,High
